Date,Open,High,Low,Close
4/1/23,75.602333,77.644287,74.658356,75.433907
5/1/23,75.431168,76.171883,73.914047,74.250809
6/1/23,74.259392,76.265533,73.012077,75.992577
7/1/23,75.993446,76.602013,75.668655,76.373444
8/1/23,76.36908,77.682274,75.529953,77.682274
9/1/23,77.676666,83.288277,77.676666,81.747314
10/1/23,81.731117,82.596161,79.8806,80.88752
11/1/23,80.887657,84.414795,80.160622,84.070313
12/1/23,84.286324,86.039719,82.843849,85.964226
13/1/23,85.969009,87.583061,83.923912,86.340034
14/1/23,86.334831,90.645493,86.17276,87.813858
15/1/23,87.814041,88.451981,85.997162,87.365532
16/1/23,87.36483,88.846123,85.131172,85.834312
17/1/23,85.849304,88.611061,85.004951,87.117424
18/1/23,87.124062,88.212799,82.761566,82.77533
19/1/23,82.767296,84.422523,82.141197,84.232269
20/1/23,84.230621,90.721245,83.221573,90.493225
21/1/23,90.499146,91.332787,88.310272,88.314651
22/1/23,88.314667,89.894447,86.989632,87.629974
23/1/23,87.630653,92.532982,87.630653,90.025925
24/1/23,90.011391,91.094902,86.699692,87.202881
25/1/23,87.218681,91.623344,85.990204,89.381012
26/1/23,89.367523,89.850044,87.171089,87.589455
27/1/23,87.59169,89.10096,86.346901,88.84581
28/1/23,88.850449,89.662697,87.505554,89.601936
29/1/23,89.601471,97.460876,89.601471,95.050056
30/1/23,95.0467,95.846718,89.499718,91.262436
31/1/23,91.263313,95.999153,91.263313,94.308113
1/2/23,94.297386,101.983437,94.013306,100.443626
2/2/23,100.439934,101.877731,98.495178,98.690186
3/2/23,98.67836,100.480568,98.039948,99.970924
4/2/23,99.960236,101.085121,98.526802,98.614479
5/2/23,98.614235,98.81041,95.215149,96.458755
6/2/23,96.467079,97.848999,95.409515,96.062454
7/2/23,96.044754,101.161926,95.979546,100.927666
8/2/23,100.923256,102.02372,97.43045,99.207619
9/2/23,99.212898,99.37793,90.920837,92.098465
10/2/23,92.095055,94.044289,91.370094,93.529282
11/2/23,93.530563,94.707855,93.039055,94.43055
12/2/23,94.420914,94.524567,91.603996,92.395737
13/2/23,92.397247,94.670494,88.849525,91.12175
14/2/23,91.125099,95.766182,90.535202,95.687576
15/2/23,95.688858,102.818573,95.180527,102.795303
16/2/23,102.788017,104.480171,98.912926,98.952202
17/2/23,98.950462,101.543976,98.672653,100.309509
18/2/23,100.30188,101.61113,99.222023,99.791847
19/2/23,99.793121,101.124489,97.305954,97.564217
20/2/23,97.602036,98.489075,94.903877,95.940819
21/2/23,95.948135,96.742409,92.478645,93.70948
22/2/23,93.721626,95.355377,92.111038,95.218925
23/2/23,95.21682,96.152885,93.748825,94.691994
24/2/23,94.687744,95.132828,90.825089,91.555099
25/2/23,91.563545,93.398376,91.151863,93.263451
26/2/23,93.246315,95.468826,92.918777,95.255623
27/2/23,95.257263,95.934364,92.990181,94.086678
28/2/23,94.084854,95.861084,93.389,93.792778
1/3/23,93.795372,97.929253,93.795372,97.737663
2/3/23,97.733429,98.116287,94.284027,95.25724
3/3/23,95.263947,95.35025,88.111771,90.548973
4/3/23,90.544441,90.744774,88.057297,89.289536
5/3/23,89.289429,91.684654,89.267792,89.953346
6/3/23,89.949089,90.469063,87.154549,87.42292
7/3/23,87.423859,88.695816,84.951775,86.301903
8/3/23,86.301346,86.507355,82.114616,82.783531
9/3/23,82.785294,84.759377,75.72065,76.731049
10/3/23,76.733093,76.777901,69.158936,71.762215
11/3/23,71.747795,74.025536,66.678162,69.706955
12/3/23,69.710175,76.479439,68.22007,76.311844
13/3/23,76.341232,82.906013,74.941673,81.768288
14/3/23,81.768738,88.099586,79.793793,84.35054
15/3/23,84.355873,85.655327,75.653755,76.428154
16/3/23,76.464149,79.874878,76.209679,79.053551
17/3/23,79.054993,85.508904,78.520233,85.502319
18/3/23,85.525955,87.879791,82.820435,82.983742
19/3/23,83.001015,86.417305,82.68277,84.436096
20/3/23,84.420914,84.482536,78.370506,78.424553
21/3/23,78.434616,83.134872,77.72625,82.735352
22/3/23,82.71698,88.150375,79.948647,87.356888
23/3/23,87.348419,94.448112,86.031342,93.701004
24/3/23,93.69886,95.759125,89.87368,93.709908
25/3/23,93.706764,93.96833,90.423843,91.581146
26/3/23,91.582176,94.643127,90.983017,93.525192
27/3/23,93.516914,93.617455,88.177658,89.246872
28/3/23,89.243179,89.421036,86.03421,89.139374
29/3/23,89.139328,92.875336,89.098915,91.341736
30/3/23,91.340508,92.99929,87.337234,89.059891
31/3/23,89.072517,90.208542,87.930046,89.684128
1/4/23,89.68644,93.853622,89.552834,92.875351
2/4/23,92.662842,94.429344,90.855324,93.015976
3/4/23,93.005661,95.380592,90.588432,93.037338
4/4/23,93.031387,93.916695,91.79789,92.600426
5/4/23,92.598495,94.870644,91.715324,92.622116
6/4/23,92.621239,92.652245,90.220451,90.929153
7/4/23,90.926834,91.392006,89.559052,90.638329
8/4/23,90.63308,91.296356,89.630333,89.975197
